REGION,YEAR,week,UNWEIGHTED ILI
Illinois,2015,47,2.04812
Illinois,2015,48,2.04212
Illinois,2015,49,2.16111
Illinois,2015,50,2.16723
Illinois,2015,51,2.6622
Illinois,2015,52,2.55183
Illinois,2016,1,2.44474
Illinois,2016,2,2.79141
Illinois,2016,3,2.56198
Illinois,2016,4,2.75204
Illinois,2016,5,3.04572
Illinois,2016,6,3.32896
Illinois,2016,7,3.87532
Illinois,2016,8,3.88773
Illinois,2016,9,4.17069
Illinois,2016,10,3.9101
Illinois,2016,11,3.32867
Illinois,2016,12,2.78787
Illinois,2016,13,2.55401
Illinois,2016,14,2.10069
Illinois,2016,15,1.92583
Illinois,2016,16,1.79058
Illinois,2016,17,1.61378
Illinois,2016,18,1.39314
Illinois,2016,19,1.49228
Illinois,2016,20,1.41111
Illinois,2016,21,1.31884
Illinois,2016,22,1.3797
Illinois,2016,23,1.00205
Illinois,2016,24,0.861015
Illinois,2016,25,0.988571
Illinois,2016,26,1.16108
Illinois,2016,27,0.871479
Illinois,2016,28,0.833136
Illinois,2016,29,0.823299
Illinois,2016,30,0.787612
Illinois,2016,31,0.725307
Illinois,2016,32,0.685128
Illinois,2016,33,0.703667
Illinois,2016,34,0.846383
Illinois,2016,35,0.788131
Illinois,2016,36,1.03157
Illinois,2016,37,1.29281
Illinois,2016,38,1.17647
Illinois,2016,39,1.55404
Illinois,2016,40,1.29539
Illinois,2016,41,1.21637
Illinois,2016,42,1.48743
Illinois,2016,43,1.53786
Illinois,2016,44,1.66157
Illinois,2016,45,1.77498
Illinois,2016,46,1.87003
Illinois,2016,47,1.92035
Illinois,2016,48,1.75686
Illinois,2016,49,1.89146
Illinois,2016,50,2.09658
Illinois,2016,51,2.30118
Illinois,2016,52,3.06912
Illinois,2017,1,2.82989
Illinois,2017,2,2.88986
Illinois,2017,3,3.01511
Illinois,2017,4,3.222
Illinois,2017,5,3.58104
Illinois,2017,6,4.36443
Illinois,2017,7,4.76881
Illinois,2017,8,4.56599
Illinois,2017,9,3.52349
Illinois,2017,10,3.61994
Illinois,2017,11,3.18906
Illinois,2017,12,3.10204
Illinois,2017,13,2.73495
Illinois,2017,14,2.35154
Illinois,2017,15,1.60639
Illinois,2017,16,1.40298
Illinois,2017,17,1.40462
Illinois,2017,18,1.30381
Illinois,2017,19,1.52283
Illinois,2017,20,1.2583
Illinois,2017,21,1.22028
Illinois,2017,22,1.14586
Illinois,2017,23,1.03763
Illinois,2017,24,0.900231
Illinois,2017,25,0.873269
Illinois,2017,26,0.841253
Illinois,2017,27,0.671101
Illinois,2017,28,0.785296
Illinois,2017,29,0.708017
Illinois,2017,30,0.685727
Illinois,2017,31,0.723532
Illinois,2017,32,0.716609
Illinois,2017,33,0.739136
Illinois,2017,34,0.718894
Illinois,2017,35,0.785354
Illinois,2017,36,0.990154
Illinois,2017,37,1.20348
Illinois,2017,38,1.18339
